2026/04/25 18:50:04 [XMRUSDT] OBI: -0.08353591938836616 | Updated: 1777114203581 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [BTCUSDT] OBI: -0.261646351644682 | Updated: 1777114204087 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [AAVEUSDT] OBI: -0.026575281892549353 | Updated: 1777114204112 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [BCHUSDT] OBI: 0.18997178271210974 | Updated: 1777114204085 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [ETCUSDT] OBI: -0.19254481118317893 | Updated: 1777114203887 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [VETUSDT] OBI: -0.11660238945784845 | Updated: 1777114203582 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [GRTUSDT] OBI: 0.2631256724191616 | Updated: 1777114203754 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [SANDUSDT] OBI: -0.44188488807916587 | Updated: 1777114204087 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [TRXUSDT] OBI: 0.10884742563850763 | Updated: 1777114204114 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [ETHUSDT] OBI: 0.11217646093317048 | Updated: 1777114204113 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [DOTUSDT] OBI: 0.12484749011429183 | Updated: 1777114204135 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [DOGEUSDT] OBI: 0.13231736737045058 | Updated: 1777114204070 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [AVAXUSDT] OBI: -0.09777260037357649 | Updated: 1777114204072 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [ICPUSDT] OBI: -0.0464385960036684 | Updated: 1777114204113 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [QNTUSDT] OBI: 0.29670912951167727 | Updated: 1777114203831 | ProcessTs: 1777114204604
2026/04/25 18:50:04 [ALGOUSDT] OBI: 0.06936942416398331 | Updated: 1777114204083 | ProcessTs: 1777114204604
2026/04/25 18:50:05 --- Current 1777114205357 ---
2026/04/25 18:50:05 [ICPUSDT] OBI: -0.04974247102363412 | Updated: 1777114204551 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [VETUSDT] OBI: -0.11643268221963574 | Updated: 1777114204451 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [ALGOUSDT] OBI: 0.08266310903438454 | Updated: 1777114204550 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [ETHUSDT] OBI: 0.11163786660774495 | Updated: 1777114204607 | ProcessTs: 1777114205013
